policy_id,customer_name,gender,age,marital_status,state,city,pincode,aadhaar_masked,occupation_type,annual_income_Amount,bmi,tobacco_usage,physical_activity_level,policy_type,sum_insured,policy_start_date,claim_date,hospital_name,hospital_tier,room_category,cashless_claim,agent_channel,hospital_bill_amount,total_claim_amount
IND104725,Ridhi Wable,Male,48,married,Karnataka,Bengaluru,807064,XXXX-XXXX-1011,Self-employed,155342.43,28.20831256,smoking,moderate,family_floater,500000,20/05/2021,20/03/2023,Kadakia PLC Hospital,private_corporate,semi-private,yes,agent,6582.85,6713.92
IND105031,Ethan Shankar,Male,46,Widowed,Tamil Nadu,Coimbatore,900329,XXXX-XXXX-1013,Self-employed,156326.28,20.42457611,chewing,low,family_floater,2000000,11/05/2020,06/09/2021,Apte-Dhawan Hospital,private_corporate,private,no,aggregator,6823.12,6856.49
IND107982,Anita Ranganathan,Male,31,married,Tamil Nadu,Chennai,316041,XXXX-XXXX-1019,Business,161996.41,26.65131952,none,low,senior_citizen,2000000,10/08/2020,07/05/2023,Sawhney Group Hospital,private_corporate,general,yes,online,7407.57,7305.93
IND104472,Suhani Mahajan,Male,58,Single,Karnataka,Bengaluru,950216,XXXX-XXXX-1020,Unemployed,162993.12,33.68258432,none,low,family_floater,2000000,12/05/2023,01/12/2025,"Saran, Tandon and Garde Hospital",private_small,general,yes,bancassurance,7590,7374.48
IND103455,Vidhi Toor,female,27,Widowed,Delhi,New Delhi,455069,XXXX-XXXX-1034,Salaried,180335.59,27.55318749,smoking,low,individual,2000000,14/03/2023,09/05/2024,Korpal Inc Hospital,private_corporate,private,yes,online,7686.84,7874.52
IND102591,Ikbal Jha,female,22,Divorced,Uttar Pradesh,Noida,898756,XXXX-XXXX-1037,Student,181122.01,29.23090024,none,low,senior_citizen,1000000,26/09/2022,20/08/2027,Zachariah Inc Hospital,private_corporate,deluxe,yes,online,8810.51,9403.79
IND107279,Christopher Sur,Female,29,Single,Tamil Nadu,Chennai,697145,XXXX-XXXX-1039,Salaried,195974.42,22.37572658,none,low,individual,1000000,06/08/2022,12/05/2024,"Ram, Mann and Nigam Hospital",private_corporate,private,yes,agent,9597.04,10448
IND106850,Garima Dhingra,Male,33,Married,West Bengal,Kolkata,500033,XXXX-XXXX-1041,Unemployed,196859.87,31.20077596,none,moderate,individual,300000,30/07/2022,02/12/2027,Kunda-Bora Hospital,govt,semi-private,yes,online,10341.22,10869.37
IND100152,Darika Basak,Male,71,Divorced,Tamil Nadu,Chennai,541457,XXXX-XXXX-1043,Retired,197807.64,17.19834744,chewing,moderate,individual,2000000,10/06/2019,07/06/2023,Pant PLC Hospital,private_corporate,general,yes,bancassurance,10596.32,11083.85
IND106898,Rushil Pal,Male,24,Married,Tamil Nadu,Chennai,399941,XXXX-XXXX-1047,Student,203766.88,22.24810266,none,low,individual,2000000,04/10/2021,30/04/2024,"Kalita, Rajagopalan and Magar Hospital",private_corporate,deluxe,yes,online,11413.53,12195.13
IND105315,Qushi Bal,male,60,Married,Maharashtra,Mumbai,778785,XXXX-XXXX-1049,Business,204065.57,30.38280348,smoking,low,senior_citizen,500000,17/01/2022,06/08/2026,Parikh Ltd Hospital,govt,general,no,agent,11837.13,12353.74
IND101228,Karan Kuruvilla,Male,20,married,West Bengal,Kolkata,813644,XXXX-XXXX-1052,Unemployed,204418.1,34.29254458,none,moderate,family_floater,5000000,30/11/2021,14/08/2025,Singh Inc Hospital,private_small,deluxe,yes,agent,11947.5,12560
IND107928,Wridesh Suri,Male,47,married,Karnataka,Bengaluru,102643,XXXX-XXXX-1054,Student,208455.88,27.92599989,none,moderate,family_floater,500000,18/01/2022,18/11/2023,Chaudhry-Minhas Hospital,private_small,private,yes,agent,12478,13764
IND100254,Yachana Bora,Female,25,Single,Maharashtra,Nagpur,179574,XXXX-XXXX-1056,Retired,209949.88,18.589362,none,low,senior_citizen,300000,12/04/2022,06/12/2026,Dhar-Verma Hospital,private_corporate,general,no,online,12813.46,13857.74
IND107176,Eiravati Narang,male,33,married,Karnataka,Bengaluru,120745,XXXX-XXXX-1059,Retired,213833.91,18.14658327,none,moderate,family_floater,1000000,05/08/2021,17/01/2022,"Bhatia, Bhardwaj and Dalal Hospital",govt,private,yes,bancassurance,14249.44,14916.94
IND103117,Falak Kothari,Male,72,married,Delhi,New Delhi,378893,XXXX-XXXX-1061,Student,214339.48,32.20534186,smoking,moderate,individual,300000,04/06/2021,13/04/2026,Jha LLC Hospital,private_corporate,deluxe,no,bancassurance,14495.11,15267.11
IND103283,Daniel Balay,female,60,Widowed,West Bengal,Kolkata,607620,XXXX-XXXX-1071,Business,220075.35,28.50239883,smoking,moderate,individual,500000,18/04/2021,27/03/2025,Padmanabhan-Bhavsar Hospital,private_corporate,general,yes,bancassurance,14813.89,16229.88
IND101515,Jasmit Narasimhan,male,40,Single,Uttar Pradesh,Kanpur,470157,XXXX-XXXX-1078,Unemployed,223604.9,17.87306974,none,moderate,family_floater,500000,18/12/2018,18/01/2024,Saha LLC Hospital,private_small,deluxe,yes,aggregator,15672.21,16350.4
IND107924,Jalsa Rastogi,Male,50,married,Karnataka,Bengaluru,844758,XXXX-XXXX-1079,Unemployed,223628.69,32.98373209,chewing,low,individual,500000,21/08/2023,08/12/2027,Varghese PLC Hospital,govt,semi-private,yes,agent,15779.21,16625
IND106860,Dayamai Nagy,Female,68,Married,Karnataka,Bengaluru,723803,XXXX-XXXX-1081,Student,224734.36,21.00762686,chewing,low,family_floater,300000,14/09/2018,06/10/2019,Sibal-Bansal Hospital,private_small,semi-private,yes,agent,16607.18,16633.2
IND100500,Harish Narain,Male,35,Married,Tamil Nadu,Coimbatore,491270,XXXX-XXXX-1085,Self-employed,226077.75,18.36867855,both,low,family_floater,1000000,04/06/2020,02/04/2024,Balasubramanian-Raval Hospital,private_corporate,private,yes,aggregator,16749.13,17110.36
IND100183,Omkaar Tank,male,57,married,Karnataka,Bengaluru,604098,XXXX-XXXX-1091,Unemployed,226183.36,29.05671714,smoking,moderate,family_floater,1000000,25/02/2020,28/12/2020,Sarin LLC Hospital,private_corporate,private,yes,bancassurance,16964.09,17202.05
IND105452,Ikbal Sani,male,62,Married,Delhi,New Delhi,166463,XXXX-XXXX-1093,Unemployed,227446.03,32.96777852,smoking,moderate,senior_citizen,300000,30/04/2022,16/07/2022,Gour-Parmar Hospital,private_corporate,deluxe,yes,online,17090.29,17478.61
IND107120,Aarnav Ganesan,Male,34,Divorced,Delhi,New Delhi,783344,XXXX-XXXX-1094,Unemployed,228377.78,26.58887849,smoking,moderate,senior_citizen,500000,14/06/2022,28/12/2022,Badami-Kohli Hospital,private_small,general,yes,aggregator,17175,17502.38
IND103177,Damini Korpal,Female,28,married,Karnataka,Mysuru,966431,XXXX-XXXX-1095,Unemployed,228501.57,16.84871895,none,high,family_floater,2000000,01/12/2018,03/07/2023,"Nadkarni, Buch and Bala Hospital",private_corporate,semi-private,yes,aggregator,17357.15,17664.47
IND102437,Hema Gandhi,female,36,Married,West Bengal,Kolkata,105184,XXXX-XXXX-1096,Self-employed,230704.55,22.87880688,none,moderate,family_floater,1000000,11/11/2018,07/09/2019,"Tandon, Behl and Banerjee Hospital",private_corporate,private,yes,online,17366.67,18175
IND101626,Vincent Venkataraman,female,42,Married,Delhi,New Delhi,402418,XXXX-XXXX-1099,Self-employed,233232.72,20.43335717,chewing,high,individual,2000000,20/08/2020,24/10/2021,Ray-Bhargava Hospital,govt,general,yes,online,17405.04,18191.87
IND100153,Jagdish Narang,female,57,Divorced,Delhi,New Delhi,751009,XXXX-XXXX-1109,Retired,233305.75,17.14280289,none,moderate,family_floater,300000,24/07/2021,01/06/2025,Rana and Sons Hospital,private_corporate,deluxe,yes,agent,17622.05,18384.05
IND101065,Warhi Balay,female,33,Single,Tamil Nadu,Coimbatore,125166,XXXX-XXXX-1114,Student,235555.03,23.04839988,none,high,individual,2000000,04/11/2023,03/04/2025,Raju-Guha Hospital,private_corporate,deluxe,no,online,17812.03,18837.97
IND104532,Chavvi Wason,female,38,Single,Delhi,New Delhi,743047,XXXX-XXXX-1122,Business,237028.24,24.32625281,none,moderate,individual,2000000,14/09/2018,22/10/2019,Dhillon-Saxena Hospital,govt,semi-private,no,aggregator,18571.67,19040.79
IND100830,Mahika Chaudhry,Male,54,Single,Delhi,New Delhi,160200,XXXX-XXXX-1134,Salaried,238014.41,19.42973248,none,low,individual,5000000,24/07/2022,14/11/2026,Rattan-Sridhar Hospital,private_small,general,no,agent,18787.96,19142
IND106423,Dev Bail,Female,83,married,West Bengal,Kolkata,627788,XXXX-XXXX-1145,Unemployed,238023.91,30.47510538,none,low,family_floater,2000000,19/09/2023,01/01/2027,Chauhan-Kala Hospital,private_small,semi-private,yes,agent,18891.01,19215.56
IND105564,Bishakha Apte,female,37,Single,Delhi,New Delhi,571152,XXXX-XXXX-1146,Business,240852.42,18.02192735,none,low,individual,2000000,03/12/2018,21/10/2023,Anne and Sons Hospital,private_corporate,private,yes,agent,19341.04,19391.61
IND103764,Raagini Bakshi,Male,30,Divorced,West Bengal,Kolkata,418186,XXXX-XXXX-1148,Unemployed,243143.37,15,none,low,senior_citizen,300000,27/02/2023,05/12/2025,Gera Inc Hospital,private_corporate,private,yes,agent,19677.06,19793.37
IND104188,Upkaar Kata,Male,57,Single,Maharashtra,Mumbai,585804,XXXX-XXXX-1168,Retired,245936.5,27.12094852,chewing,high,family_floater,500000,29/03/2018,01/04/2019,Oak and Sons Hospital,govt,general,yes,online,19870.81,20211.75
IND104620,Falan Handa,Male,22,Single,Tamil Nadu,Coimbatore,999464,XXXX-XXXX-1170,Business,246332.57,31.77687359,smoking,low,family_floater,5000000,09/11/2019,15/02/2020,Andra-Dubey Hospital,private_corporate,deluxe,no,aggregator,19929.49,20332.25
IND101616,Saanvi Soni,Male,40,Widowed,Karnataka,Bengaluru,652501,XXXX-XXXX-1183,Student,247482.73,32.51089868,smoking,low,family_floater,2000000,30/12/2022,20/02/2027,Kulkarni-Sane Hospital,private_corporate,general,yes,agent,20038.78,20723.01
IND105132,Krishna Rastogi,Male,56,Married,Uttar Pradesh,Noida,643453,XXXX-XXXX-1186,Business,248403.11,31.27536269,none,moderate,individual,1000000,18/05/2021,04/03/2025,De-Hari Hospital,private_small,semi-private,yes,aggregator,20271.34,20774.51
IND101739,Gunbir Vig,female,33,Single,Maharashtra,Mumbai,637966,XXXX-XXXX-1198,Unemployed,253515.01,30.32816957,chewing,high,individual,300000,31/08/2018,12/01/2024,"Krishna, Halder and Cheema Hospital",private_small,private,yes,agent,21326.42,21452
IND103167,Jagat Karan,Female,34,married,Uttar Pradesh,Lucknow,482221,XXXX-XXXX-1202,Business,253794.42,30.4588214,none,low,individual,1000000,04/10/2020,24/11/2021,"Rau, Som and Grewal Hospital",private_corporate,private,no,aggregator,21366.13,21619.39
IND104861,Lekha Loyal,female,18,Married,Tamil Nadu,Chennai,443346,XXXX-XXXX-1207,Retired,256420.15,26.74112329,none,low,family_floater,300000,15/05/2022,03/08/2027,Majumdar-Shroff Hospital,private_corporate,semi-private,yes,online,22048.38,21882
IND106753,Indrajit Trivedi,Female,24,married,Uttar Pradesh,Lucknow,312876,XXXX-XXXX-1209,Retired,256999.66,15,chewing,moderate,individual,2000000,27/01/2020,30/01/2025,"Samra, Buch and Bhandari Hospital",private_small,deluxe,no,agent,22348.58,23202.82
IND101992,Manthan Varkey,male,57,Widowed,Maharashtra,Nagpur,430108,XXXX-XXXX-1218,Self-employed,259196.26,29.58935487,none,high,individual,2000000,21/07/2022,07/05/2027,Cherian and Sons Hospital,private_small,private,no,online,23710.31,24289
IND100509,Nidhi Sundaram,Female,33,Widowed,West Bengal,Kolkata,634363,XXXX-XXXX-1227,Salaried,260598.7,18.65171843,both,low,individual,2000000,15/03/2021,30/11/2024,"Upadhyay, Bawa and Ben Hospital",private_small,semi-private,yes,agent,23994.13,24849.85
IND102282,Neha Vaidya,female,64,Widowed,Delhi,New Delhi,100258,XXXX-XXXX-1232,Retired,261389.95,33.22314917,smoking,low,senior_citizen,300000,14/03/2019,29/11/2023,Bajwa Group Hospital,govt,semi-private,yes,agent,24115.77,25019.6
IND104437,Veer Kuruvilla,Male,21,Widowed,West Bengal,Kolkata,860548,XXXX-XXXX-1234,Business,263496.28,26.04224769,chewing,low,individual,500000,20/09/2018,02/11/2019,Srivastava Inc Hospital,private_corporate,semi-private,yes,agent,24642.4,25307.63
IND107736,Aditya Goel,Male,58,Single,Delhi,New Delhi,901207,XXXX-XXXX-1242,Unemployed,264238.8,23.58120464,none,high,individual,1000000,02/12/2021,05/11/2022,Sundaram-Bala Hospital,private_small,private,no,bancassurance,24935.05,25436.38
IND103895,Zayan Chowdhury,male,27,married,Maharashtra,Mumbai,743529,XXXX-XXXX-1243,Self-employed,264828.96,28.97854531,smoking,low,family_floater,2000000,30/11/2019,14/02/2022,Chandran and Sons Hospital,private_small,deluxe,yes,aggregator,25146.06,25556
IND105145,George Das,male,39,Single,Karnataka,Mysuru,820106,XXXX-XXXX-1250,Salaried,264849.07,23.89234293,smoking,moderate,individual,5000000,27/08/2019,28/04/2023,Saini and Sons Hospital,private_corporate,semi-private,yes,aggregator,25249,25653.28
IND107963,Dalaja Yogi,Male,42,married,Tamil Nadu,Coimbatore,113847,XXXX-XXXX-1252,Retired,264868.37,26.89295711,both,moderate,senior_citizen,5000000,06/12/2023,23/08/2027,"Oak, Sunder and Bal Hospital",private_small,private,no,aggregator,25585,25673.61
IND105220,Udarsh Setty,female,39,Single,Karnataka,Mysuru,875275,XXXX-XXXX-1258,Student,266229.61,22.00773398,chewing,low,individual,500000,29/10/2020,28/05/2021,"Narula, Soman and Pant Hospital",private_corporate,private,no,online,26197.34,25919.54
IND107754,Avi Keer,Male,19,Widowed,West Bengal,Kolkata,115251,XXXX-XXXX-1260,Retired,267843.45,21.01214042,none,low,family_floater,5000000,11/11/2019,16/12/2023,Zachariah and Sons Hospital,private_corporate,private,no,bancassurance,26689.11,25999.59
